nohup: ignoring input
J = 0.0
After sweep 1 energy=-24.4912598060914  maxlinkdim=10 maxerr=1.71E-03 time=0.286
After sweep 2 energy=-26.94595878295319  maxlinkdim=20 maxerr=1.64E-03 time=0.255
After sweep 3 energy=-27.52902058695569  maxlinkdim=40 maxerr=5.63E-04 time=0.391
After sweep 4 energy=-27.609796020446968  maxlinkdim=75 maxerr=2.45E-04 time=0.566
After sweep 5 energy=-27.649830049632705  maxlinkdim=100 maxerr=3.15E-04 time=0.729
After sweep 6 energy=-27.692429131459058  maxlinkdim=150 maxerr=2.43E-04 time=1.040
After sweep 7 energy=-27.72255607896259  maxlinkdim=200 maxerr=1.88E-04 time=1.438
After sweep 8 energy=-27.738764257339042  maxlinkdim=250 maxerr=1.11E-04 time=1.848
After sweep 9 energy=-27.748862999496595  maxlinkdim=300 maxerr=6.95E-05 time=2.349
After sweep 10 energy=-27.75636836763084  maxlinkdim=350 maxerr=4.22E-05 time=2.854
After sweep 11 energy=-27.761534915553742  maxlinkdim=400 maxerr=2.39E-05 time=4.176
After sweep 12 energy=-27.764756432325918  maxlinkdim=500 maxerr=9.24E-06 time=5.480
After sweep 13 energy=-27.76650923785912  maxlinkdim=600 maxerr=4.08E-06 time=7.562
After sweep 14 energy=-27.76747515196383  maxlinkdim=700 maxerr=1.96E-06 time=11.504
After sweep 15 energy=-27.768013145926094  maxlinkdim=800 maxerr=9.95E-07 time=12.588
After sweep 16 energy=-27.76831487695482  maxlinkdim=900 maxerr=5.26E-07 time=16.909
After sweep 17 energy=-27.768481549407255  maxlinkdim=1000 maxerr=2.89E-07 time=22.783
After sweep 18 energy=-27.768567320405975  maxlinkdim=1100 maxerr=1.65E-07 time=29.211
After sweep 19 energy=-27.768616883798067  maxlinkdim=1200 maxerr=1.02E-07 time=33.584
After sweep 20 energy=-27.768646459906222  maxlinkdim=1300 maxerr=6.47E-08 time=41.086
After sweep 21 energy=-27.768663978363566  maxlinkdim=1400 maxerr=4.21E-08 time=50.496
After sweep 22 energy=-27.768674408307696  maxlinkdim=1500 maxerr=2.80E-08 time=55.840
After sweep 23 energy=-27.76868058040109  maxlinkdim=1600 maxerr=1.86E-08 time=58.621
After sweep 24 energy=-27.7686841936105  maxlinkdim=1700 maxerr=1.27E-08 time=67.059
After sweep 25 energy=-27.76868634087348  maxlinkdim=1800 maxerr=8.80E-09 time=74.134
After sweep 26 energy=-27.76868761859732  maxlinkdim=1900 maxerr=6.15E-09 time=83.914
After sweep 27 energy=-27.768688373805666  maxlinkdim=2000 maxerr=4.41E-09 time=97.495
After sweep 28 energy=-27.768688807394668  maxlinkdim=2000 maxerr=4.24E-09 time=97.434
After sweep 29 energy=-27.76868913635917  maxlinkdim=2000 maxerr=4.31E-09 time=94.846
After sweep 30 energy=-27.768689295447697  maxlinkdim=2000 maxerr=4.21E-09 time=94.683
J = 1.0
After sweep 1 energy=-24.61696630437271  maxlinkdim=10 maxerr=1.37E-02 time=56.060
After sweep 2 energy=-28.5224783348213  maxlinkdim=20 maxerr=4.73E-03 time=12.757
After sweep 3 energy=-29.723236925537407  maxlinkdim=40 maxerr=2.79E-03 time=4.620
After sweep 4 energy=-30.224516698753085  maxlinkdim=75 maxerr=1.13E-03 time=5.891
After sweep 5 energy=-30.54443931042589  maxlinkdim=100 maxerr=1.37E-03 time=6.430
After sweep 6 energy=-30.87289722955817  maxlinkdim=150 maxerr=7.17E-04 time=7.442
After sweep 7 energy=-30.96315307926672  maxlinkdim=200 maxerr=5.60E-04 time=8.831
After sweep 8 energy=-30.997064288298848  maxlinkdim=250 maxerr=4.43E-04 time=10.069
After sweep 9 energy=-31.014564011451647  maxlinkdim=300 maxerr=4.03E-04 time=11.403
