Site,LocalDensity
1,0.4298895580892676
2,0.4280661396455685
3,0.20987579466255457
4,0.07668424294256215
5,0.20987803086283488
6,0.42806594422716526
7,0.1618899000404574
8,0.16189167333151694
9,0.49266947146764123
10,0.4897075106329554
11,0.4554452960822094
12,0.45544361866915123
13,0.4897066626009318
14,0.2233213618949228
15,0.22332121134417085
16,0.49266803693043165
17,0.4456058068387797
18,0.44560427652209805
19,0.4456050757594541
20,0.4456099186278155
21,0.17293626623403824
22,0.17293830501841906
23,0.42988840052003474
24,0.45544169219087405
25,0.4897066114375612
26,0.48970859580001314
27,0.45544449295037015
28,0.22331999593359314
29,0.2233205680005486
30,0.07668362775552799
31,0.20987643892742974
32,0.4280633166212076
33,0.42806478265868875
34,0.20987613826654591
35,0.16189071712256708
36,0.16189051939008564
