Site,LocalSpin
1,1.1637912855633203e-12
2,-2.414471400591367e-12
3,-2.08207279542294e-12
4,-6.429745380868643e-13
5,-1.6011462621594392e-12
6,-2.259258752301818e-12
7,-1.1980624825547181e-12
8,-9.675698552479202e-13
9,-1.754500146209302e-12
10,-1.9661092415593218e-12
11,-2.61583406811186e-12
12,-3.3344759245435007e-12
13,-2.491724426764446e-12
14,-1.96227935583029e-12
15,-1.4829231643505433e-12
16,-3.3102505112014846e-12
17,4.524158825347513e-15
18,1.1183046676188635e-12
19,1.029753241227685e-12
20,5.846191639064299e-13
21,7.6410654268139e-13
22,6.363304041692344e-13
23,-7.963351386728462e-13
24,1.8862300324025655e-12
25,-1.9476084923974504e-13
26,8.184854795908159e-13
27,2.072342297765317e-12
28,-3.829940114039377e-13
29,4.6550710495983356e-14
30,2.894503674890042e-12
31,3.5500777393737e-12
32,7.362952478620621e-13
33,3.035563987674461e-12
34,5.44464473506423e-12
35,1.7074865826804952e-12
36,3.962691286218956e-12
