J,n,spin_gap
0.0,0.3333333333333333,0.03808769060144712
0.5,0.3333333333333333,0.09813393101950041
1.0,0.3333333333333333,0.16304547919494183
1.5,0.3333333333333333,0.22559281475058413
1.8,0.3333333333333333,0.26452689842787436
1.9,0.3333333333333333,0.2788097018052582
1.95,0.3333333333333333,0.28628953020472636
2.0,0.3333333333333333,0.29402288980499947
2.05,0.3333333333333333,0.3020304105009046
2.1,0.3333333333333333,0.31033188669775313
2.2,0.3333333333333333,0.327889991189366
2.3,0.3333333333333333,0.3468298084493071
2.4,0.3333333333333333,0.36725390463163876
2.45,0.3333333333333333,0.3780439860813303
2.5,0.3333333333333333,0.3892258456208495
2.55,0.3333333333333333,0.40080011864201737
3.0,0.3333333333333333,0.5216027450576419
3.5,0.3333333333333333,0.6827255451725591
