Site,LocalSpin
1,-5.881975462251887e-12
2,-7.598378089918034e-12
3,-6.226778149401771e-12
4,-2.6410924228864596e-12
5,-8.786773392222003e-13
6,-2.758192558471238e-12
7,-3.6260007444600016e-12
8,2.6546039672004085e-13
9,9.486805950472576e-14
10,2.283221568705718e-12
11,-3.5749571193538444e-12
12,-3.4857474276257127e-12
13,-1.148253367388996e-12
14,2.8587662375826625e-14
15,-7.293870368796362e-13
16,-3.554520286998096e-12
17,-2.3667266063620573e-14
18,1.1545948531903696e-12
19,-3.6062918613939935e-12
20,-4.5149075450501286e-12
21,6.704028900518923e-13
22,-1.5129959459771192e-12
23,1.2446438736428422e-12
24,1.6066725603620284e-12
25,-1.7990185468665075e-12
26,-3.856052196299364e-12
27,-3.9693343848588375e-13
28,-1.2788505103256308e-13
29,-9.348135126771052e-13
30,-1.5687781592261478e-12
31,-8.132053143123253e-13
32,1.428574967333009e-12
33,2.4588840604856816e-13
34,-8.867988808558547e-13
35,3.7817582699469346e-13
36,-5.973046812501563e-14
37,5.3269861264414594e-12
38,3.380894522675426e-12
39,-3.582219133536132e-13
40,-3.5033378464903634e-13
41,2.70306988562117e-12
42,4.0298653468477076e-13
43,4.1319213202897336e-13
44,-1.3373340410806757e-12
45,1.0859725514425621e-13
46,3.6062787475880382e-12
47,3.3120188238705555e-12
48,-7.956674819077329e-14
49,6.086563103705555e-13
50,6.734388646869364e-13
51,8.169598689539009e-12
52,4.0943258982836794e-12
53,-5.135861284007607e-13
54,-6.329797797022252e-13
55,4.041707398448613e-12
56,7.244010929141018e-13
57,-6.719151873346013e-14
58,7.767184315968408e-13
59,2.8051742262176453e-12
60,6.350460425251966e-12
61,3.822265116676658e-12
62,1.5936561825963801e-12
63,2.091569972773044e-12
64,1.138087887819772e-12
