Site,LocalSpin
1,7.267996968152168e-13
2,1.3077525173876836e-12
3,1.1842471447920389e-12
4,1.2070275334785663e-12
5,2.0516921495072893e-12
6,-2.3801828563652094e-12
7,4.999160807539482e-13
8,8.379243479628151e-13
9,-3.664096153224716e-12
10,-5.417959646463605e-13
11,2.446965671537224e-12
12,1.0812450059778525e-12
13,7.301535117525903e-13
14,3.2578685237986624e-13
15,-8.060736334714015e-13
16,-1.1846999657020618e-12
17,-3.072968451175221e-13
18,6.63920546324456e-13
19,6.084308449348394e-13
20,-2.343653661019414e-13
21,-7.954393015963872e-13
22,-5.44186385716359e-13
23,7.957171739456462e-14
24,3.169236146327398e-13
25,-2.279024823778067e-14
26,-4.415544291851102e-13
27,-5.494033796916123e-13
28,-1.6503149138053297e-13
29,-3.5261836198092885e-14
30,-2.7847929758532635e-13
31,2.305703934436648e-13
32,-2.4328403901289926e-12
33,3.1011913657807066e-12
34,-4.924031709325431e-12
35,8.836027569305408e-13
36,1.0240064005073712e-12
