x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64
0.0003041331023805335,-1.0352591266979445e-5,-2.605248158774598e-5,-3.666985844103753e-5,-4.055567284912108e-5,-3.920106768052157e-5,-3.472196767955461e-5,-2.889284032043016e-5,-2.291420614820828e-5,-1.7470014655190954e-5,-1.2874032550314522e-5,-9.20361613896094e-6,-6.407378236791448e-6,-4.3701380145686225e-6,-2.9533032131458234e-6,-2.0171759467941914e-6,-1.4332485502472189e-6,-1.0910370868628029e-6,-9.011294108051656e-7,-7.965085317893864e-7,-7.305734400803522e-7,-6.74877025364484e-7,-6.149892799690134e-7,-5.463630595842681e-7,-4.707308338369356e-7,-3.927941519841257e-7,-3.179508174832117e-7,-2.508417331022562e-7,-1.9453598084617612e-7,-1.5030558804233472e-7,-1.1781585605947489e-7,-9.552884277500463e-8,-8.119811233139769e-8,-7.235539729539686e-8,-6.671771620099298e-8,-6.243921588436076e-8,-5.825235930280418e-8,-5.346368606983454e-8,-4.78742866134312e-8,-4.165107916093325e-8,-3.5166563476606616e-8,-2.8864871512271272e-8,-2.315067085180213e-8,-1.8317209765808567e-8,-1.4513048847928229e-8,-1.174237655927519e-8,-9.889192814285717e-9,-8.75774744916869e-9,-8.115796287682354e-9,-7.737018895371543e-9,-7.432106934859626e-9,-7.06782771633109e-9,-6.571952102437397e-9,-5.927188732010067e-9,-5.15897217003796e-9,-4.317855401879592e-9,-3.4633513060262912e-9,-2.6506736983342326e-9,-1.922693072886818e-9,-1.3066595233781705e-9,-8.144675307978909e-10,-4.4598991903085936e-10,-1.9369954772186614e-10,-4.767536110331769e-11
-1.0352591266979445e-5,0.0013448123898962658,-0.00013419446496884776,-0.0001761711054746517,-0.00018786711722510208,-0.00017751380724760968,-0.0001547823844885246,-0.0001273073333911867,-0.00010005662547109372,-7.573242501367988e-5,-5.547537938560507e-5,-3.945684166288224e-5,-2.7343044028415983e-5,-1.856577735512003e-5,-1.248590230651405e-5,-8.479969787288658e-6,-5.985597051775752e-6,-4.525483340143788e-6,-3.716512990234467e-6,-3.2729653590659835e-6,-2.9967078787786817e-6,-2.7667820614841687e-6,-2.5214391997651402e-6,-2.2407501551124156e-6,-1.931156336403722e-6,-1.6117524741523276e-6,-1.3046868894935142e-6,-1.0290709260149586e-6,-7.976268874137026e-7,-6.156662406417999e-7,-4.819092645933012e-7,-3.9009863053856624e-7,-3.3104450946028843e-7,-2.946362166539084e-7,-2.714965193577457e-7,-2.5403795079212673e-7,-2.370281961292852e-7,-2.1760044840891164e-7,-1.9491085068510698e-7,-1.696218725686641e-7,-1.432439237426671e-7,-1.1758678805370706e-7,-9.430387140375577e-8,-7.459658436445684e-8,-5.9076959738496134e-8,-4.7767770598028303e-8,-4.020047258865284e-8,-3.5579791602684226e-8,-3.296020694074145e-8,-3.141908943745944e-8,-3.018385628229616e-8,-2.871005438053236e-8,-2.6701816936551407e-8,-2.408737097044978e-8,-2.0969376273746756e-8,-1.7553205897906293e-8,-1.4081047667155756e-8,-1.0777794426614562e-8,-7.818182708990157e-9,-5.313367483253195e-9,-3.311956855466926e-9,-1.8135699118800084e-9,-7.876513774264732e-10,-1.938634529019262e-10
-2.605248158774598e-5,-0.00013419446496884776,0.0033998498585658945,-0.0005240591324801687,-0.0005310994954679986,-0.00048558380767357807,-0.0004136521909127964,-0.0003343077452694924,-0.0002591489061289014,-0.00019396930515922252,-0.00014077175814435815,-9.932758700523808e-5,-6.833586990732795e-5,-4.606843198229202e-5,-3.0738188353871816e-5,-2.0679592067809232e-5,-1.4432824740587888e-5,-1.0782654511372664e-5,-8.765761130894002e-6,-7.669056529008592e-6,-7.0000611416707905e-6,-6.457803492832957e-6,-5.88701976808659e-6,-5.235497154575954e-6,-4.515447751698192e-6,-3.7706535114401113e-6,-3.052941976547506e-6,-2.4073831211829296e-6,-1.8643285515423292e-6,-1.4366713487144477e-6,-1.1218511275296699e-6,-9.054937641595804e-7,-7.662414727242365e-7,-6.805119380037384e-7,-6.263283099703226e-7,-5.858719904577701e-7,-5.46770907944628e-7,-5.022172164100324e-7,-4.5012045032598555e-7,-3.9193688105152355e-7,-3.311280202820739e-7,-2.7187990663256034e-7,-2.180362465585883e-7,-1.7240421671056276e-7,-1.3642877848436904e-7,-1.1018773376903621e-7,-9.261556836979718e-8,-8.188324918859303e-8,-7.580733998900415e-8,-7.225187972573375e-8,-6.942456676878202e-8,-6.60592058284999e-8,-6.146467604229429e-8,-5.54693003674297e-8,-4.8306417416285075e-8,-4.044859075171086e-8,-3.245490925846125e-8,-2.484544737164026e-8,-1.8024811193040586e-8,-1.2250748708917979e-8,-7.636407998875584e-9,-4.181574638536558e-9,-1.8160851274251972e-9,-4.469863309402563e-10
-3.666985844103753e-5,-0.0001761711054746517,-0.0005240591324801687,0.006735365097158814,-0.0012631486444414175,-0.0011118043117291213,-0.0009211683582435493,-0.0007287386242292839,-0.0005553549648781691,-0.00040990920647397834,-0.0002940233991725638,-0.0002053665542191853,-0.00013998089399468337,-9.348703874206268e-5,-6.171681661644218e-5,-4.09758704545523e-5,-2.8133962298064695e-5,-2.064539293863443e-5,-1.6522853738170215e-5,-1.4308205000001525e-5,-1.2998852628783535e-5,-1.1980382434060064e-5,-1.0931014548669141e-5,-9.736213905314044e-6,-8.410059413079107e-6,-7.03140422595736e-6,-5.69694802146335e-6,-4.492034072098212e-6,-3.475181768352722e-6,-2.672063007745296e-6,-2.0793445912239032e-6,-1.671136191440388e-6,-1.4081111796793483e-6,-1.2465107860952965e-6,-1.1452323825444944e-6,-1.070811532626843e-6,-9.997975921889014e-7,-9.191605653415893e-7,-8.246668917328475e-7,-7.18764392528613e-7,-6.077153265724473e-7,-4.992073881821093e-7,-4.0035819714167986e-7,-3.164092429909274e-7,-2.501036742825518e-7,-2.0166111430457133e-7,-1.6918028222290284e-7,-1.4933374875014116e-7,-1.3812187351948053e-7,-1.316154286562835e-7,-1.265059470756045e-7,-1.2044671529725575e-7,-1.1214785110798931e-7,-1.0127723960308503e-7,-8.82517249849493e-8,-7.393276081274931e-8,-5.9344915774078194e-8,-4.544398513765398e-8,-3.297527216162192e-8,-2.241486701655806e-8,-1.3973115895139514e-8,-7.65167887869026e-9,-3.3231906256068852e-9,-8.179211600601414e-10
-4.055567284912108e-5,-0.00018786711722510208,-0.0005310994954679986,-0.0012631486444414175,0.011418268295306757,-0.0023366457752483057,-0.001879797016444943,-0.0014529935733789254,-0.0010866112908298573,-0.0007895857718555768,-0.0005589178960859961,-0.0003859132972242755,-0.0002602581659742444,-0.00017193032901298723,-0.00011206660494885511,-7.319096553629845e-5,-4.9191830598812484e-5,-3.522253833931262e-5,-2.7563209263345354e-5,-2.3509612648785684e-5,-2.1210211253386243e-5,-1.952443838465317e-5,-1.784376596920427e-5,-1.5936035037406205e-5,-1.3802629264737815e-5,-1.1565760783572044e-5,-9.384415273602127e-6,-7.40253869639512e-6,-5.7212295468918204e-6,-4.387186429186658e-6,-3.398658505690326e-6,-2.7155590374956916e-6,-2.2746071775210988e-6,-2.004342802250162e-6,-1.836887575938524e-6,-1.716547718123959e-6,-1.6038963615791529e-6,-1.4766047621700087e-6,-1.3269344728729435e-6,-1.1582868726716495e-6,-9.805426188109466e-7,-8.061095555121392e-7,-6.466187481137124e-7,-5.107406266430996e-7,-4.0312174301542706e-7,-3.243040605045899e-7,-2.713537423327079e-7,-2.389758264737597e-7,-2.2073713664486544e-7,-2.1027724492453232e-7,-2.022124768426715e-7,-1.9270153827321063e-7,-1.7961166503422972e-7,-1.6236640429196002e-7,-1.4161176398937866e-7,-1.1872488522251199e-7,-9.535671864463116e-8,-7.305409979670962e-8,-5.30274681744287e-8,-3.605331599085308e-8,-2.2478143902409864e-8,-1.2309883295786856e-8,-5.346438206893574e-9,-1.3159026051570232e-9
-3.920106768052157e-5,-0.00017751380724760968,-0.00048558380767357807,-0.0011118043117291213,-0.0023366457752483057,0.017224022826113274,-0.003646598774902057,-0.002753040703899708,-0.0020191279912977157,-0.0014433988967894643,-0.00100759643827778,-0.0006873047920773398,-0.00045833560675547126,-0.0002992900104798563,-0.00019238989333521286,-0.00012331656137187585,-8.077580699307779e-5,-5.603738289570871e-5,-4.251803922625859e-5,-3.5475066000324626e-5,-3.167212449197929e-5,-2.910033452038453e-5,-2.6664650758370657e-5,-2.391458579118428e-5,-2.0802793091092973e-5,-1.7495951036120794e-5,-1.423348894053721e-5,-1.1241106520869085e-5,-8.682321061201731e-6,-6.638107434245344e-6,-5.114237563457095e-6,-4.0559059865173244e-6,-3.370739855056443e-6,-2.9517941063340663e-6,-2.6958744624413357e-6,-2.517260845342931e-6,-2.354607644059492e-6,-2.1721173308801717e-6,-1.956508579952576e-6,-1.7116474857800068e-6,-1.4516759895112365e-6,-1.1949477425569976e-6,-9.58973137823494e-7,-7.570267312787809e-7,-5.964480506445912e-7,-4.784355980701146e-7,-3.989317711708538e-7,-3.502581663731947e-7,-3.2293723337368963e-7,-3.0751265984171563e-7,-2.9592044080318165e-7,-2.823597349852197e-7,-2.635658674945651e-7,-2.3860147160367506e-7,-2.0836899230838924e-7,-1.7488261823488767e-7,-1.40584500385584e-7,-1.0777697178009203e-7,-7.827080323877443e-8,-5.3234704413063304e-8,-3.3197573052171224e-8,-1.8182559113581348e-8,-7.897558296398289e-9,-1.9438501213925137e-9
-3.472196767955461e-5,-0.0001547823844885246,-0.0004136521909127964,-0.0009211683582435493,-0.001879797016444943,-0.003646598774902057,0.023664421091968903,-0.005043789204514548,-0.0036283172229321058,-0.002551474738200135,-0.0017562836316450457,-0.001183506545603529,-0.0007805124739399422,-0.000503906614602936,-0.0003194858057561652,-0.00020084390774253674,-0.00012786668238441175,-8.539728073327507e-5,-6.220897480663636e-5,-5.0284753644897975e-5,-4.41652075841212e-5,-4.042960143747841e-5,-3.716777384842929e-5,-3.35340049659845e-5,-2.9355169283637878e-5,-2.4826313600645993e-5,-2.0281966213031223e-5,-1.6056288957113364e-5,-1.2401917698524955e-5,-9.454150079102584e-6,-7.238243285764799e-6,-5.688335301424655e-6,-4.680266597940174e-6,-4.064879876802742e-6,-3.694916426128725e-6,-3.446015802269456e-6,-3.2278171934421476e-6,-2.9857254575463595e-6,-2.697925216180207e-6,-2.3675344306556246e-6,-2.0131960586594816e-6,-1.6602700441061792e-6,-1.3335398810118063e-6,-1.0522097404353794e-6,-8.273114229448723e-7,-6.612511754336674e-7,-5.489461387149651e-7,-4.800603893754909e-7,-4.4154704406484863e-7,-4.2022578787466704e-7,-4.0474297727240395e-7,-3.868439248972724e-7,-3.6180239037738527e-7,-3.2816286170365414e-7,-2.870778775992477e-7,-2.4129717453680135e-7,-1.9420678366591557e-7,-1.490257339903617e-7,-1.0830307159282329e-7,-7.369745951186169e-8,-4.597345183101359e-8,-2.51850230530626e-8,-1.094023830927067e-8,-2.6928841275513484e-9
-2.889284032043016e-5,-0.0001273073333911867,-0.0003343077452694924,-0.0007287386242292839,-0.0014529935733789254,-0.002753040703899708,-0.005043789204514548,0.030085306649156,-0.006361477558886886,-0.00440170957793757,-0.002988301933844315,-0.001990084092922291,-0.001298794702034337,-0.0008298978783319474,-0.0005196792082365399,-0.00032082211668715377,-0.00019848364150008559,-0.00012707089049281972,-8.79652310941227e-5,-6.79896551066991e-5,-5.817426556198445e-5,-5.2842151879210156e-5,-4.873598601477783e-5,-4.431687758958846e-5,-3.91337684163859e-5,-3.3359270398085064e-5,-2.7425499549280294e-5,-2.1799969796059002e-5,-1.6859302730048175e-5,-1.282090331092155e-5,-9.750865531766365e-6,-7.582724572522383e-6,-6.162370521521022e-6,-5.295187013535141e-6,-4.7821414126319325e-6,-4.451922846618268e-6,-4.176552117804112e-6,-3.876624233042027e-6,-3.5175033250527006e-6,-3.099319734127997e-6,-2.6447760278526035e-6,-2.186882957594747e-6,-1.7589559324650148e-6,-1.3875270113505928e-6,-1.0885274226640283e-6,-8.663926117049035e-7,-7.15392208217078e-7,-6.225059194130866e-7,-5.707762050993132e-7,-5.427930463215074e-7,-5.233588313267807e-7,-5.012766567284058e-7,-4.7000096282526716e-7,-4.273555797105839e-7,-3.746877123232889e-7,-3.155384433538641e-7,-2.5435860581625927e-7,-1.9542590009510904e-7,-1.42157504862341e-7,-9.68000840238048e-8,-6.041286005577746e-8,-3.3104674601443175e-8,-1.4382828134206764e-8,-3.5405361541895328e-9
-2.291420614820828e-5,-0.00010005662547109372,-0.0002591489061289014,-0.0005553549648781691,-0.0010866112908298573,-0.0020191279912977157,-0.0036283172229321058,-0.006361477558886886,0.03580414921746581,-0.007448801365732801,-0.004988761190073891,-0.0032846819321777584,-0.002123229881151727,-0.0013448372757956266,-0.0008337745112749313,-0.0005071451376741776,-0.00030588206999646343,-0.0001877314658075528,-0.0001225374767750133,-8.914936164972789e-5,-7.317318670472472e-5,-6.53925948812934e-5,-6.0382312936109404e-5,-5.5412022585136456e-5,-4.948745935606063e-5,-4.263960990300289e-5,-3.536802647036468e-5,-2.8291818720269234e-5,-2.1946080636511197e-5,-1.6668827465825504e-5,-1.2596899341186377e-5,-9.684013321529146e-6,-7.756494468559334e-6,-6.575580076234774e-6,-5.88645932786433e-6,-5.463359270622162e-6,-5.133089614775673e-6,-4.78385272320782e-6,-4.362922839897638e-6,-3.863977142573115e-6,-3.3123001964241156e-6,-2.7484774158674447e-6,-2.2152187071599776e-6,-1.7476728756135606e-6,-1.3679935212051835e-6,-1.083730220883834e-6,-8.89217769659237e-7,-7.690633769770027e-7,-7.023558939019293e-7,-6.671736128309817e-7,-6.440626940605727e-7,-6.184594117998819e-7,-5.816435250108114e-7,-5.304770926800111e-7,-4.66386159662389e-7,-3.936948574917599e-7,-3.1798395186055454e-7,-2.4469084257747306e-7,-1.782060546657407e-7,-1.214521208463138e-7,-7.584332932988492e-8,-4.1576010015169954e-8,-1.8067338269820477e-8,-4.448018646888478e-9
-1.7470014655190954e-5,-7.573242501367988e-5,-0.00019396930515922252,-0.00040990920647397834,-0.0007895857718555768,-0.0014433988967894643,-0.002551474738200135,-0.00440170957793757,-0.007448801365732801,0.04023469979010719,-0.00819513540851225,-0.0053356481915102505,-0.003418552194686801,-0.0021499392971090665,-0.0013236772972980804,-0.0007970665744880826,-0.00047170232756489264,-0.00027915086609602106,-0.00017157919473617203,-0.00011578182568252655,-8.919506414845688e-5,-7.716718527356995e-5,-7.088696262434558e-5,-6.562757078785134e-5,-5.942238387111438e-5,-5.191615508238286e-5,-4.35792617964083e-5,-3.5186849174791646e-5,-2.7439140716725598e-5,-2.085862046926967e-5,-1.5678247637212797e-5,-1.1910397587984152e-5,-9.385940423317923e-6,-7.823673250289205e-6,-6.921119568456677e-6,-6.391609306954809e-6,-6.0113737585067735e-6,-5.628080201488125e-6,-5.164005459167061e-6,-4.60237006949203e-6,-3.967871397425585e-6,-3.307536090844364e-6,-2.6736170151064234e-6,-2.110822469880705e-6,-1.648827232330816e-6,-1.2996079039865352e-6,-1.0586509278616738e-6,-9.089203049855534e-7,-8.259285007558125e-7,-7.832849025283415e-7,-7.571056523476305e-7,-7.291659986374918e-7,-6.882561187454287e-7,-6.300084152349829e-7,-5.557443463623823e-7,-4.7048041287663185e-7,-3.8091266196626915e-7,-2.936754950958833e-7,-2.1419549505583786e-7,-1.4613773003979377e-7,-9.132751456588954e-8,-5.0088722785978796e-8,-2.177297652246063e-8,-5.3611116982810195e-9
